QueryTaxID,TaxID,Rank,ScientificName
1001533,1001533,serotype,Bos taurus papillomavirus 7
1001533,10239,superkingdom,Viruses
1001533,2731342,clade,Monodnaviria
1001533,2732092,kingdom,Shotokuvirae
1001533,2732415,phylum,Cossaviricota
1001533,2732421,class,Papovaviricetes
1001533,2732533,order,Zurhausenvirales
1001533,151340,family,Papillomaviridae
1001533,2169595,subfamily,Firstpapillomavirinae
1001533,1513246,genus,Dyoxipapillomavirus
1001533,1513255,species,Dyoxipapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
1034799,1034799,no rank,environmental samples
1034799,10239,superkingdom,Viruses
1034799,2731342,clade,Monodnaviria
1034799,2732092,kingdom,Shotokuvirae
1034799,2732415,phylum,Cossaviricota
1034799,2732421,class,Papovaviricetes
1034799,2732533,order,Zurhausenvirales
1034799,151340,family,Papillomaviridae
QueryTaxID,TaxID,Rank,ScientificName
1034800,1034800,species,uncultured Papillomavirus
1034800,10239,superkingdom,Viruses
1034800,2731342,clade,Monodnaviria
1034800,2732092,kingdom,Shotokuvirae
1034800,2732415,phylum,Cossaviricota
1034800,2732421,class,Papovaviricetes
1034800,2732533,order,Zurhausenvirales
1034800,151340,family,Papillomaviridae
1034800,1034799,no rank,environmental samples
QueryTaxID,TaxID,Rank,ScientificName
1036963,1036963,serotype,Apodemus sylvaticus papillomavirus 1
1036963,10239,superkingdom,Viruses
1036963,2731342,clade,Monodnaviria
1036963,2732092,kingdom,Shotokuvirae
1036963,2732415,phylum,Cossaviricota
1036963,2732421,class,Papovaviricetes
1036963,2732533,order,Zurhausenvirales
1036963,151340,family,Papillomaviridae
1036963,2169595,subfamily,Firstpapillomavirinae
1036963,334211,genus,Pipapillomavirus
1036963,1176145,species,Pipapillomavirus 2
QueryTaxID,TaxID,Rank,ScientificName
1036965,1036965,serotype,Rattus norvegicus papillomavirus 2
1036965,10239,superkingdom,Viruses
1036965,2731342,clade,Monodnaviria
1036965,2732092,kingdom,Shotokuvirae
1036965,2732415,phylum,Cossaviricota
